caseid,task,start_timestamp,end_timestamp,resource
Case1,Start,2016-02-01 15:01:55,2016-02-01 15:01:55,Start
Case1,Traer informacion estudiante - banner,2016-02-01 15:01:55,2016-02-01 15:01:55,Traer informacion estudiante - banner
Case1,Radicar Solicitud Homologacion,2016-02-01 15:02:02,2016-02-01 15:02:02,Radicar Solicitud Homologacion
Case1,Notificacion estudiante cancelacion soli,2016-02-03 13:02:47,2016-02-03 13:02:47,Notificacion estudiante cancelacion soli
Case1,End,2016-02-03 13:02:47,2016-02-03 13:02:47,End
Case2,Start,2016-02-02 07:03:45,2016-02-02 07:03:45,Start
Case2,Traer informacion estudiante - banner,2016-02-02 07:03:45,2016-02-02 07:03:45,Traer informacion estudiante - banner
Case2,Radicar Solicitud Homologacion,2016-02-02 07:03:47,2016-02-02 07:06:31,Radicar Solicitud Homologacion
Case2,Notificacion estudiante cancelacion soli,2016-02-02 17:44:24,2016-02-02 17:44:24,Notificacion estudiante cancelacion soli
Case2,End,2016-02-02 17:44:24,2016-02-02 17:44:24,End
Case3,Start,2016-02-10 07:50:31,2016-02-10 07:50:31,Start
Case3,Traer informacion estudiante - banner,2016-02-10 07:50:31,2016-02-10 07:50:31,Traer informacion estudiante - banner
Case3,Radicar Solicitud Homologacion,2016-02-10 07:50:38,2016-02-10 07:50:38,Radicar Solicitud Homologacion
Case3,Notificacion estudiante cancelacion soli,2016-02-10 07:50:38,2016-02-10 07:50:38,Notificacion estudiante cancelacion soli
Case3,End,2016-02-10 07:50:38,2016-02-10 07:50:38,End
Case4,Start,2016-02-10 09:20:26,2016-02-10 09:20:26,Start
Case4,Traer informacion estudiante - banner,2016-02-10 09:20:26,2016-02-10 09:20:26,Traer informacion estudiante - banner
Case4,Radicar Solicitud Homologacion,2016-02-10 09:20:29,2016-02-10 09:20:44,Radicar Solicitud Homologacion
Case4,Cancelar Solicitud,2016-02-10 09:24:49,2016-02-10 09:24:49,Cancelar Solicitud
Case4,Notificacion estudiante cancelacion soli,2016-02-10 12:43:08,2016-02-10 12:43:08,Notificacion estudiante cancelacion soli
Case4,End,2016-02-10 12:43:08,2016-02-10 12:43:08,End
Case5,Start,2016-02-10 09:33:51,2016-02-10 09:33:51,Start
Case5,Traer informacion estudiante - banner,2016-02-10 09:33:51,2016-02-10 09:33:51,Traer informacion estudiante - banner
Case5,Radicar Solicitud Homologacion,2016-02-10 09:33:58,2016-02-10 09:33:58,Radicar Solicitud Homologacion
Case5,Validar solicitud,2016-02-10 09:37:27,2016-02-10 09:38:43,Validar solicitud
Case5,Homologacion por grupo de cursos,2016-02-10 10:14:54,2016-02-10 11:36:09,Homologacion por grupo de cursos
Case5,Revisar curso,2016-02-16 10:18:58,2016-02-16 10:35:37,Revisar curso
Case5,Evaluacion curso,2016-02-16 10:36:13,2016-02-16 14:39:36,Evaluacion curso
Case5,Validacion final,2016-02-17 00:37:53,2016-02-17 00:39:25,Validacion final
Case5,Visto Bueno Cierre Proceso,2016-02-17 00:43:52,2016-02-17 01:10:29,Visto Bueno Cierre Proceso
Case5,End,2016-02-17 01:10:29,2016-02-17 01:10:29,End
Case6,Start,2016-02-10 12:21:53,2016-02-10 12:21:53,Start
Case6,Traer informacion estudiante - banner,2016-02-10 12:21:53,2016-02-10 12:21:53,Traer informacion estudiante - banner
Case6,Radicar Solicitud Homologacion,2016-02-10 12:21:56,2016-02-10 12:21:56,Radicar Solicitud Homologacion
Case6,Validar solicitud,2016-02-10 18:14:55,2016-02-10 18:27:15,Validar solicitud
Case6,Homologacion por grupo de cursos,2016-02-21 06:17:53,2016-02-21 07:14:12,Homologacion por grupo de cursos
Case6,End,2016-02-21 07:14:12,2016-02-21 07:14:12,End
Case7,Start,2016-02-10 12:50:14,2016-02-10 12:50:14,Start
Case7,Traer informacion estudiante - banner,2016-02-10 12:50:14,2016-02-10 12:50:14,Traer informacion estudiante - banner
Case7,Radicar Solicitud Homologacion,2016-02-10 12:50:18,2016-02-10 14:19:15,Radicar Solicitud Homologacion
Case7,Validar solicitud,2016-02-10 14:33:37,2016-02-10 14:39:03,Validar solicitud
Case7,Homologacion por grupo de cursos,2016-02-24 22:43:54,2016-02-25 02:58:28,Homologacion por grupo de cursos
Case7,Revisar curso,2016-02-11 21:00:31,2016-02-11 21:42:23,Revisar curso
Case7,Evaluacion curso,2016-02-11 21:57:21,2016-02-11 22:04:15,Evaluacion curso
Case7,Validacion final,2016-04-25 19:02:07,2016-04-25 19:10:38,Validacion final
Case7,Visto Bueno Cierre Proceso,2016-04-25 19:15:36,2016-04-25 19:16:38,Visto Bueno Cierre Proceso
Case7,Transferir Creditos,2016-05-01 11:37:34,2016-05-01 11:37:34,Transferir Creditos
Case7,End,2016-05-01 11:37:34,2016-05-01 11:37:34,End
Case8,Start,2016-02-10 13:43:09,2016-02-10 13:43:09,Start
Case8,Traer informacion estudiante - banner,2016-02-10 13:43:09,2016-02-10 13:43:09,Traer informacion estudiante - banner
Case8,Radicar Solicitud Homologacion,2016-02-10 13:43:12,2016-02-10 13:43:26,Radicar Solicitud Homologacion
Case8,Cancelar Solicitud,2016-02-10 13:57:16,2016-02-10 13:57:20,Cancelar Solicitud
Case8,Notificacion estudiante cancelacion soli,2016-02-19 00:24:41,2016-02-19 00:24:41,Notificacion estudiante cancelacion soli
Case8,End,2016-02-19 00:24:41,2016-02-19 00:24:41,End
Case9,Start,2016-02-10 14:24:34,2016-02-10 14:24:34,Start
Case9,Traer informacion estudiante - banner,2016-02-10 14:24:34,2016-02-10 14:24:34,Traer informacion estudiante - banner
Case9,Radicar Solicitud Homologacion,2016-02-10 14:24:39,2016-02-10 14:24:44,Radicar Solicitud Homologacion
Case9,Validar solicitud,2016-02-10 14:31:11,2016-02-10 14:37:26,Validar solicitud
Case9,Homologacion por grupo de cursos,2016-02-12 04:48:34,2016-02-12 05:25:13,Homologacion por grupo de cursos
Case9,End,2016-02-12 05:25:13,2016-02-12 05:25:13,End
Case10,Start,2016-02-10 16:46:03,2016-02-10 16:46:03,Start
Case10,Traer informacion estudiante - banner,2016-02-10 16:46:03,2016-02-10 16:46:03,Traer informacion estudiante - banner
Case10,Radicar Solicitud Homologacion,2016-02-10 16:46:05,2016-02-10 16:47:03,Radicar Solicitud Homologacion
Case10,Validar solicitud,2016-02-10 16:55:15,2016-02-10 16:55:30,Validar solicitud
Case10,Homologacion por grupo de cursos,2016-02-10 17:18:21,2016-02-10 17:18:22,Homologacion por grupo de cursos
Case10,End,2016-02-10 17:18:22,2016-02-10 17:18:22,End
Case11,Start,2016-02-10 17:53:00,2016-02-10 17:53:00,Start
Case11,Traer informacion estudiante - banner,2016-02-10 17:53:00,2016-02-10 17:53:00,Traer informacion estudiante - banner
Case11,Radicar Solicitud Homologacion,2016-02-10 17:53:05,2016-02-10 18:28:57,Radicar Solicitud Homologacion
Case11,Cancelar Solicitud,2016-02-10 18:34:41,2016-02-10 18:34:41,Cancelar Solicitud
Case11,Notificacion estudiante cancelacion soli,2016-02-10 18:54:17,2016-02-10 18:54:17,Notificacion estudiante cancelacion soli
Case11,End,2016-02-10 18:54:17,2016-02-10 18:54:17,End
Case12,Start,2016-02-10 19:21:16,2016-02-10 19:21:16,Start
Case12,Traer informacion estudiante - banner,2016-02-10 19:21:16,2016-02-10 19:21:16,Traer informacion estudiante - banner
Case12,Radicar Solicitud Homologacion,2016-02-10 19:21:23,2016-02-10 19:26:20,Radicar Solicitud Homologacion
Case12,Cancelar Solicitud,2016-02-10 19:43:27,2016-02-10 22:18:46,Cancelar Solicitud
Case12,Notificacion estudiante cancelacion soli,2016-02-10 22:25:39,2016-02-10 22:25:39,Notificacion estudiante cancelacion soli
Case12,End,2016-02-10 22:25:39,2016-02-10 22:25:39,End
Case13,Start,2016-02-02 09:35:42,2016-02-02 09:35:42,Start
Case13,Traer informacion estudiante - banner,2016-02-02 09:35:42,2016-02-02 09:35:42,Traer informacion estudiante - banner
Case13,Radicar Solicitud Homologacion,2016-02-02 09:35:43,2016-02-02 09:35:54,Radicar Solicitud Homologacion
Case13,Validar solicitud,2016-02-02 09:38:25,2016-02-02 09:45:53,Validar solicitud
Case13,Homologacion por grupo de cursos,2016-02-08 04:23:53,2016-02-08 07:04:55,Homologacion por grupo de cursos
Case13,Revisar curso,2016-02-04 21:40:46,2016-02-04 21:54:12,Revisar curso
Case13,Evaluacion curso,2016-02-04 21:55:25,2016-02-04 21:55:25,Evaluacion curso
Case13,Validar solicitud / pre-homologacion,2016-03-31 12:31:40,2016-03-31 12:48:04,Validar solicitud / pre-homologacion
Case13,Validacion final,2016-03-31 14:01:48,2016-03-31 14:07:47,Validacion final
Case13,Validacion final,2016-04-05 11:21:13,2016-04-05 11:31:37,Validacion final
Case13,Visto Bueno Cierre Proceso,2016-04-06 05:27:14,2016-04-06 05:56:56,Visto Bueno Cierre Proceso
Case13,Visto Bueno Cierre Proceso,2016-04-05 11:35:40,2016-04-05 11:37:16,Visto Bueno Cierre Proceso
Case13,Transferir Creditos,2016-04-10 13:50:30,2016-04-10 13:50:30,Transferir Creditos
Case13,Transferir creditos homologables,2016-04-10 13:50:30,2016-04-10 13:50:30,Transferir creditos homologables
Case13,Transferir creditos homologables,2016-04-10 13:50:30,2016-04-10 13:50:30,Transferir creditos homologables
Case13,Transferir Creditos,2016-04-19 18:00:52,2016-04-19 18:00:52,Transferir Creditos
Case13,Transferir creditos homologables,2016-04-19 18:00:52,2016-04-19 18:00:52,Transferir creditos homologables
Case13,Transferir creditos homologables,2016-04-19 18:00:52,2016-04-19 18:00:52,Transferir creditos homologables
Case13,Transferir creditos homologables,2016-04-19 18:00:54,2016-04-19 18:00:54,Transferir creditos homologables
Case13,End,2016-04-19 18:00:54,2016-04-19 18:00:54,End
Case14,Start,2016-02-10 20:08:43,2016-02-10 20:08:43,Start
Case14,Traer informacion estudiante - banner,2016-02-10 20:08:43,2016-02-10 20:08:43,Traer informacion estudiante - banner
Case14,Radicar Solicitud Homologacion,2016-02-10 20:08:48,2016-02-10 20:10:13,Radicar Solicitud Homologacion
Case14,Cancelar Solicitud,2016-02-10 20:11:33,2016-02-10 20:11:34,Cancelar Solicitud
Case14,Notificacion estudiante cancelacion soli,2016-02-26 09:53:42,2016-02-26 09:53:42,Notificacion estudiante cancelacion soli
Case14,End,2016-02-26 09:53:42,2016-02-26 09:53:42,End
Case15,Start,2016-02-10 20:32:52,2016-02-10 20:32:52,Start
Case15,Traer informacion estudiante - banner,2016-02-10 20:32:52,2016-02-10 20:32:52,Traer informacion estudiante - banner
Case15,Radicar Solicitud Homologacion,2016-02-10 20:32:56,2016-02-10 20:33:27,Radicar Solicitud Homologacion
Case15,Cancelar Solicitud,2016-02-10 20:45:58,2016-02-11 00:39:13,Cancelar Solicitud
Case15,Notificacion estudiante cancelacion soli,2016-02-11 16:25:03,2016-02-11 16:25:03,Notificacion estudiante cancelacion soli
Case15,End,2016-02-11 16:25:03,2016-02-11 16:25:03,End
Case16,Start,2016-02-10 21:55:25,2016-02-10 21:55:25,Start
Case16,Traer informacion estudiante - banner,2016-02-10 21:55:25,2016-02-10 21:55:25,Traer informacion estudiante - banner
Case16,Radicar Solicitud Homologacion,2016-02-10 21:55:29,2016-02-10 22:01:30,Radicar Solicitud Homologacion
Case16,Validar solicitud,2016-02-10 22:06:08,2016-02-10 22:07:00,Validar solicitud
Case16,Homologacion por grupo de cursos,2016-02-16 08:16:25,2016-02-16 08:39:04,Homologacion por grupo de cursos
Case16,Revisar curso,2016-02-13 05:34:37,2016-02-13 05:34:37,Revisar curso
Case16,Evaluacion curso,2016-02-16 08:41:08,2016-02-16 10:15:26,Evaluacion curso
Case16,Validacion final,2016-03-09 14:12:29,2016-03-09 14:12:45,Validacion final
Case16,Visto Bueno Cierre Proceso,2016-03-12 06:47:02,2016-03-12 07:10:09,Visto Bueno Cierre Proceso
Case16,Transferir Creditos,2016-04-05 12:39:40,2016-04-05 12:39:56,Transferir Creditos
Case16,Transferir creditos homologables,2016-04-05 12:39:56,2016-04-05 12:39:56,Transferir creditos homologables
Case16,End,2016-04-05 12:39:56,2016-04-05 12:39:56,End
Case17,Start,2016-02-10 23:09:13,2016-02-10 23:09:13,Start
Case17,Traer informacion estudiante - banner,2016-02-10 23:09:13,2016-02-10 23:09:13,Traer informacion estudiante - banner
Case17,Radicar Solicitud Homologacion,2016-02-10 23:09:19,2016-02-10 23:09:19,Radicar Solicitud Homologacion
Case17,Validar solicitud,2016-02-10 23:11:49,2016-02-10 23:15:17,Validar solicitud
Case17,Homologacion por grupo de cursos,2016-02-12 04:39:40,2016-02-12 07:07:00,Homologacion por grupo de cursos
Case17,Revisar curso,2016-02-16 05:05:00,2016-02-16 05:05:26,Revisar curso
Case17,Evaluacion curso,2016-02-16 07:57:24,2016-02-16 07:57:53,Evaluacion curso
