caseid,task,start_timestamp,end_timestamp,resource
Case1,Start,2016-02-01 15:01:55,2016-02-01 15:01:55,Start
Case1,Traer informacion estudiante - banner,2016-02-01 15:01:55,2016-02-01 15:01:55,Traer informacion estudiante - banner
Case1,Radicar Solicitud Homologacion,2016-02-01 15:01:59,2016-02-01 15:02:06,Radicar Solicitud Homologacion
Case1,Notificacion estudiante cancelacion soli,2016-02-01 15:08:45,2016-02-01 15:08:45,Notificacion estudiante cancelacion soli
Case1,End,2016-02-01 15:08:45,2016-02-01 15:08:45,End
Case2,Start,2016-02-02 07:03:45,2016-02-02 07:03:45,Start
Case2,Traer informacion estudiante - banner,2016-02-02 07:03:45,2016-02-02 07:03:45,Traer informacion estudiante - banner
Case2,Radicar Solicitud Homologacion,2016-02-02 07:03:47,2016-02-02 07:04:11,Radicar Solicitud Homologacion
Case2,Notificacion estudiante cancelacion soli,2016-02-02 07:23:01,2016-02-02 07:23:01,Notificacion estudiante cancelacion soli
Case2,End,2016-02-02 07:23:01,2016-02-02 07:23:01,End
Case3,Start,2016-02-10 07:50:31,2016-02-10 07:50:31,Start
Case3,Traer informacion estudiante - banner,2016-02-10 07:50:31,2016-02-10 07:50:31,Traer informacion estudiante - banner
Case3,Radicar Solicitud Homologacion,2016-02-10 07:50:35,2016-02-10 07:50:38,Radicar Solicitud Homologacion
Case3,Notificacion estudiante cancelacion soli,2016-02-10 07:54:36,2016-02-10 07:54:36,Notificacion estudiante cancelacion soli
Case3,End,2016-02-10 07:54:36,2016-02-10 07:54:36,End
Case4,Start,2016-02-10 09:20:26,2016-02-10 09:20:26,Start
Case4,Traer informacion estudiante - banner,2016-02-10 09:20:26,2016-02-10 09:20:26,Traer informacion estudiante - banner
Case4,Radicar Solicitud Homologacion,2016-02-10 09:20:29,2016-02-10 09:34:13,Radicar Solicitud Homologacion
Case4,Cancelar Solicitud,2016-02-10 10:42:59,2016-02-10 10:54:44,Cancelar Solicitud
Case4,Notificacion estudiante cancelacion soli,2016-02-10 11:07:07,2016-02-10 11:07:07,Notificacion estudiante cancelacion soli
Case4,End,2016-02-10 11:07:07,2016-02-10 11:07:07,End
Case5,Start,2016-02-10 09:33:51,2016-02-10 09:33:51,Start
Case5,Traer informacion estudiante - banner,2016-02-10 09:33:51,2016-02-10 09:33:51,Traer informacion estudiante - banner
Case5,Radicar Solicitud Homologacion,2016-02-10 09:33:53,2016-02-10 09:33:53,Radicar Solicitud Homologacion
Case5,Validar solicitud,2016-02-10 11:21:25,2016-02-10 12:21:20,Validar solicitud
Case5,Homologacion por grupo de cursos,2016-02-10 18:27:17,2016-02-10 19:16:58,Homologacion por grupo de cursos
Case5,Revisar curso,2016-02-10 13:20:33,2016-02-10 13:21:25,Revisar curso
Case5,Evaluacion curso,2016-02-10 13:21:57,2016-02-10 14:37:58,Evaluacion curso
Case5,Validacion final,2016-02-13 10:23:43,2016-02-13 10:23:47,Validacion final
Case5,Visto Bueno Cierre Proceso,2016-02-13 10:25:58,2016-02-13 11:08:17,Visto Bueno Cierre Proceso
Case5,End,2016-02-13 11:08:17,2016-02-13 11:08:17,End
Case6,Start,2016-02-10 12:21:53,2016-02-10 12:21:53,Start
Case6,Traer informacion estudiante - banner,2016-02-10 12:21:53,2016-02-10 12:21:53,Traer informacion estudiante - banner
Case6,Radicar Solicitud Homologacion,2016-02-10 12:21:54,2016-02-10 12:21:58,Radicar Solicitud Homologacion
Case6,Validar solicitud,2016-02-10 12:48:57,2016-02-10 12:56:44,Validar solicitud
Case6,Homologacion por grupo de cursos,2016-02-10 22:03:12,2016-02-10 22:03:12,Homologacion por grupo de cursos
Case6,End,2016-02-10 22:03:12,2016-02-10 22:03:12,End
Case7,Start,2016-02-10 12:50:14,2016-02-10 12:50:14,Start
Case7,Traer informacion estudiante - banner,2016-02-10 12:50:14,2016-02-10 12:50:14,Traer informacion estudiante - banner
Case7,Radicar Solicitud Homologacion,2016-02-10 12:50:17,2016-02-10 12:50:17,Radicar Solicitud Homologacion
Case7,Validar solicitud,2016-02-10 13:17:39,2016-02-10 13:21:58,Validar solicitud
Case7,Homologacion por grupo de cursos,2016-02-10 14:09:50,2016-02-10 14:14:17,Homologacion por grupo de cursos
Case7,Revisar curso,2016-02-21 02:14:53,2016-02-21 02:20:00,Revisar curso
Case7,Evaluacion curso,2016-02-21 02:21:12,2016-02-21 05:12:02,Evaluacion curso
Case7,Validacion final,2016-04-10 07:16:40,2016-04-10 07:18:09,Validacion final
Case7,Visto Bueno Cierre Proceso,2016-04-11 06:16:05,2016-04-11 06:17:26,Visto Bueno Cierre Proceso
Case7,Transferir Creditos,2016-04-11 16:20:46,2016-04-11 16:20:46,Transferir Creditos
Case7,End,2016-04-11 16:20:46,2016-04-11 16:20:46,End
Case8,Start,2016-02-10 13:43:09,2016-02-10 13:43:09,Start
Case8,Traer informacion estudiante - banner,2016-02-10 13:43:09,2016-02-10 13:43:09,Traer informacion estudiante - banner
Case8,Radicar Solicitud Homologacion,2016-02-10 13:43:14,2016-02-10 13:43:18,Radicar Solicitud Homologacion
Case8,Cancelar Solicitud,2016-02-11 15:28:50,2016-02-11 15:38:31,Cancelar Solicitud
Case8,Notificacion estudiante cancelacion soli,2016-02-12 19:46:29,2016-02-12 19:46:29,Notificacion estudiante cancelacion soli
Case8,End,2016-02-12 19:46:29,2016-02-12 19:46:29,End
Case9,Start,2016-02-10 14:24:34,2016-02-10 14:24:34,Start
Case9,Traer informacion estudiante - banner,2016-02-10 14:24:34,2016-02-10 14:24:34,Traer informacion estudiante - banner
Case9,Radicar Solicitud Homologacion,2016-02-10 14:24:40,2016-02-10 15:06:49,Radicar Solicitud Homologacion
Case9,Validar solicitud,2016-02-10 15:10:41,2016-02-10 15:11:04,Validar solicitud
Case9,Homologacion por grupo de cursos,2016-02-10 15:26:10,2016-02-10 20:49:30,Homologacion por grupo de cursos
Case9,End,2016-02-10 20:49:30,2016-02-10 20:49:30,End
Case10,Start,2016-02-10 16:46:03,2016-02-10 16:46:03,Start
Case10,Traer informacion estudiante - banner,2016-02-10 16:46:03,2016-02-10 16:46:03,Traer informacion estudiante - banner
Case10,Radicar Solicitud Homologacion,2016-02-10 16:46:06,2016-02-10 16:46:12,Radicar Solicitud Homologacion
Case10,Validar solicitud,2016-02-10 16:50:43,2016-02-10 16:51:10,Validar solicitud
Case10,Homologacion por grupo de cursos,2016-02-27 16:24:39,2016-02-27 17:01:30,Homologacion por grupo de cursos
Case10,End,2016-02-27 17:01:30,2016-02-27 17:01:30,End
Case11,Start,2016-02-10 17:53:00,2016-02-10 17:53:00,Start
Case11,Traer informacion estudiante - banner,2016-02-10 17:53:00,2016-02-10 17:53:00,Traer informacion estudiante - banner
Case11,Radicar Solicitud Homologacion,2016-02-10 17:53:05,2016-02-10 17:53:59,Radicar Solicitud Homologacion
Case11,Cancelar Solicitud,2016-02-25 09:47:15,2016-02-25 10:25:17,Cancelar Solicitud
Case11,Notificacion estudiante cancelacion soli,2016-03-01 11:08:23,2016-03-01 11:08:23,Notificacion estudiante cancelacion soli
Case11,End,2016-03-01 11:08:23,2016-03-01 11:08:23,End
Case12,Start,2016-02-10 19:21:16,2016-02-10 19:21:16,Start
Case12,Traer informacion estudiante - banner,2016-02-10 19:21:16,2016-02-10 19:21:16,Traer informacion estudiante - banner
Case12,Radicar Solicitud Homologacion,2016-02-10 19:21:25,2016-02-10 19:21:25,Radicar Solicitud Homologacion
Case12,Cancelar Solicitud,2016-02-10 19:25:48,2016-02-11 00:11:31,Cancelar Solicitud
Case12,Notificacion estudiante cancelacion soli,2016-02-11 01:57:03,2016-02-11 01:57:03,Notificacion estudiante cancelacion soli
Case12,End,2016-02-11 01:57:03,2016-02-11 01:57:03,End
Case13,Start,2016-02-02 09:35:42,2016-02-02 09:35:42,Start
Case13,Traer informacion estudiante - banner,2016-02-02 09:52:34,2016-02-02 09:52:34,Traer informacion estudiante - banner
Case13,Radicar Solicitud Homologacion,2016-02-02 09:52:37,2016-02-02 09:52:37,Radicar Solicitud Homologacion
Case13,Validar solicitud,2016-02-02 10:04:04,2016-02-02 10:38:55,Validar solicitud
Case13,Homologacion por grupo de cursos,2016-02-02 18:21:28,2016-02-02 18:21:28,Homologacion por grupo de cursos
Case13,Revisar curso,2016-02-02 10:54:59,2016-02-02 10:59:19,Revisar curso
Case13,Evaluacion curso,2016-03-01 03:21:08,2016-03-01 03:25:50,Evaluacion curso
Case13,Validar solicitud / pre-homologacion,2016-03-03 19:00:28,2016-03-03 19:08:31,Validar solicitud / pre-homologacion
Case13,Validacion final,2016-03-12 11:08:08,2016-03-12 11:08:17,Validacion final
Case13,Validacion final,2016-05-10 04:05:45,2016-05-10 04:08:24,Validacion final
Case13,Visto Bueno Cierre Proceso,2016-05-11 05:51:52,2016-05-11 05:52:03,Visto Bueno Cierre Proceso
Case13,Visto Bueno Cierre Proceso,2016-05-10 04:09:02,2016-05-10 04:11:57,Visto Bueno Cierre Proceso
Case13,Transferir Creditos,2016-05-11 05:52:03,2016-05-11 05:52:03,Transferir Creditos
Case13,Transferir creditos homologables,2016-05-11 05:52:03,2016-05-11 05:52:03,Transferir creditos homologables
Case13,Transferir creditos homologables,2016-05-11 05:52:03,2016-05-11 05:52:03,Transferir creditos homologables
Case13,Transferir Creditos,2016-05-14 13:31:25,2016-05-14 13:31:25,Transferir Creditos
Case13,Transferir creditos homologables,2016-05-14 13:31:25,2016-05-14 13:31:25,Transferir creditos homologables
Case13,Transferir creditos homologables,2016-05-14 13:31:25,2016-05-14 13:31:25,Transferir creditos homologables
Case13,Transferir creditos homologables,2016-05-15 02:55:46,2016-05-15 06:00:29,Transferir creditos homologables
Case13,End,2016-05-15 06:00:29,2016-05-15 06:00:29,End
Case14,Start,2016-02-10 20:08:43,2016-02-10 20:08:43,Start
Case14,Traer informacion estudiante - banner,2016-02-10 20:08:43,2016-02-10 20:08:43,Traer informacion estudiante - banner
Case14,Radicar Solicitud Homologacion,2016-02-10 20:08:46,2016-02-10 20:08:59,Radicar Solicitud Homologacion
Case14,Cancelar Solicitud,2016-02-10 20:20:57,2016-02-10 20:27:25,Cancelar Solicitud
Case14,Notificacion estudiante cancelacion soli,2016-02-12 00:06:17,2016-02-12 00:06:17,Notificacion estudiante cancelacion soli
Case14,End,2016-02-12 00:06:17,2016-02-12 00:06:17,End
Case15,Start,2016-02-10 20:32:52,2016-02-10 20:32:52,Start
Case15,Traer informacion estudiante - banner,2016-02-10 20:32:52,2016-02-10 20:32:52,Traer informacion estudiante - banner
Case15,Radicar Solicitud Homologacion,2016-02-10 20:32:54,2016-02-10 20:32:54,Radicar Solicitud Homologacion
Case15,Cancelar Solicitud,2016-02-10 20:40:18,2016-02-11 02:34:58,Cancelar Solicitud
Case15,Notificacion estudiante cancelacion soli,2016-02-11 02:36:25,2016-02-11 02:36:25,Notificacion estudiante cancelacion soli
Case15,End,2016-02-11 02:36:25,2016-02-11 02:36:25,End
Case16,Start,2016-02-10 21:55:25,2016-02-10 21:55:25,Start
Case16,Traer informacion estudiante - banner,2016-02-10 21:55:25,2016-02-10 21:55:25,Traer informacion estudiante - banner
Case16,Radicar Solicitud Homologacion,2016-02-10 21:55:27,2016-02-10 22:09:39,Radicar Solicitud Homologacion
Case16,Validar solicitud,2016-02-10 22:17:02,2016-02-10 22:28:40,Validar solicitud
Case16,Homologacion por grupo de cursos,2016-03-01 01:08:58,2016-03-01 02:12:40,Homologacion por grupo de cursos
Case16,Revisar curso,2016-02-11 11:49:26,2016-02-11 11:49:27,Revisar curso
Case16,Evaluacion curso,2016-03-13 20:25:53,2016-03-13 20:26:45,Evaluacion curso
Case16,Validacion final,2016-03-13 20:26:47,2016-03-13 20:26:51,Validacion final
Case16,Visto Bueno Cierre Proceso,2016-03-15 20:28:11,2016-03-15 20:34:31,Visto Bueno Cierre Proceso
Case16,Transferir Creditos,2016-03-15 20:50:28,2016-03-15 20:50:28,Transferir Creditos
Case16,Transferir creditos homologables,2016-03-15 20:51:42,2016-03-15 20:51:42,Transferir creditos homologables
Case16,End,2016-03-15 20:51:42,2016-03-15 20:51:42,End
Case17,Start,2016-02-10 23:09:13,2016-02-10 23:09:13,Start
Case17,Traer informacion estudiante - banner,2016-02-10 23:09:13,2016-02-10 23:09:13,Traer informacion estudiante - banner
Case17,Radicar Solicitud Homologacion,2016-02-10 23:09:14,2016-02-10 23:09:17,Radicar Solicitud Homologacion
Case17,Validar solicitud,2016-02-10 23:23:25,2016-02-10 23:32:11,Validar solicitud
Case17,Homologacion por grupo de cursos,2016-02-11 05:57:14,2016-02-11 06:27:23,Homologacion por grupo de cursos
Case17,Revisar curso,2016-02-14 22:32:08,2016-02-14 22:32:08,Revisar curso
Case17,Evaluacion curso,2016-02-14 22:35:34,2016-02-14 22:38:22,Evaluacion curso
