caseid,task,start_timestamp,end_timestamp,resource
Case1,Start,2011-01-01 02:28:58,2011-01-01 02:28:58,Start
Case1,Create Purchase Requisition,2011-01-01 02:28:58,2011-01-01 02:47:53,Create Purchase Requisition
Case1,Create Request for Quotation,2011-01-01 02:55:17,2011-01-01 02:58:55,Create Request for Quotation
Case1,Analyze Request for Quotation,2011-01-01 13:16:19,2011-01-01 13:26:40,Analyze Request for Quotation
Case1,Send Request for Quotation to Supplier,2011-01-02 08:24:08,2011-01-02 08:51:25,Send Request for Quotation to Supplier
Case1,Create Quotation comparison Map,2011-01-03 02:16:28,2011-01-03 06:47:17,Create Quotation comparison Map
Case1,Analyze Quotation Comparison Map,2011-01-03 14:21:56,2011-01-03 14:37:07,Analyze Quotation Comparison Map
Case1,Choose best option,2011-01-03 14:37:07,2011-01-03 14:37:07,Choose best option
Case1,Settle Conditions With Supplier,2011-01-04 05:45:24,2011-01-04 11:23:36,Settle Conditions With Supplier
Case1,Create Purchase Order,2011-01-04 16:33:58,2011-01-04 16:42:51,Create Purchase Order
Case1,Confirm Purchase Order,2011-01-05 20:36:24,2011-01-05 21:12:54,Confirm Purchase Order
Case1,Deliver Goods Services,2011-01-06 09:17:08,2011-01-07 12:41:38,Deliver Goods Services
Case1,Release Purchase Order,2011-01-07 21:19:00,2011-01-07 21:20:03,Release Purchase Order
Case1,Approve Purchase Order for payment,2011-01-08 07:34:44,2011-01-08 07:35:49,Approve Purchase Order for payment
Case1,Send Invoice,2011-01-09 08:45:36,2011-01-09 08:45:36,Send Invoice
Case1,Release Supplier's Invoice,2011-01-09 23:50:37,2011-01-09 23:55:44,Release Supplier's Invoice
Case1,Authorize Supplier's Invoice payment,2011-01-09 23:55:44,2011-01-09 23:55:44,Authorize Supplier's Invoice payment
Case1,Pay Invoice,2011-01-10 00:37:58,2011-01-10 00:49:52,Pay Invoice
Case1,End,2011-01-10 00:49:52,2011-01-10 00:49:52,End
Case2,Start,2011-01-01 14:27:04,2011-01-01 14:27:04,Start
Case2,Create Purchase Requisition,2011-01-01 14:27:04,2011-01-01 14:54:33,Create Purchase Requisition
Case2,Analyze Purchase Requisition,2011-01-02 10:59:22,2011-01-02 11:06:49,Analyze Purchase Requisition
Case2,Create Request for Quotation,2011-01-02 13:01:37,2011-01-02 13:10:41,Create Request for Quotation
Case2,Analyze Request for Quotation,2011-01-02 22:40:26,2011-01-02 23:08:23,Analyze Request for Quotation
Case2,Send Request for Quotation to Supplier,2011-01-03 05:43:49,2011-01-03 06:13:08,Send Request for Quotation to Supplier
Case2,Create Quotation comparison Map,2011-01-03 14:05:34,2011-01-03 15:50:12,Create Quotation comparison Map
Case2,Analyze Quotation Comparison Map,2011-01-03 23:03:40,2011-01-03 23:21:42,Analyze Quotation Comparison Map
Case2,Choose best option,2011-01-03 23:21:42,2011-01-03 23:21:42,Choose best option
Case2,Settle Conditions With Supplier,2011-01-04 09:41:18,2011-01-04 18:53:49,Settle Conditions With Supplier
Case2,Create Purchase Order,2011-01-04 21:45:26,2011-01-04 21:58:13,Create Purchase Order
Case2,Confirm Purchase Order,2011-01-06 18:35:42,2011-01-06 18:55:04,Confirm Purchase Order
Case2,Deliver Goods Services,2011-01-07 15:09:30,2011-01-08 09:21:40,Deliver Goods Services
Case2,Release Purchase Order,2011-01-08 17:42:33,2011-01-08 17:43:37,Release Purchase Order
Case2,Approve Purchase Order for payment,2011-01-09 04:28:04,2011-01-09 04:29:10,Approve Purchase Order for payment
Case2,Send Invoice,2011-01-09 20:07:36,2011-01-09 20:07:36,Send Invoice
Case2,Release Supplier's Invoice,2011-01-10 10:02:02,2011-01-10 10:07:58,Release Supplier's Invoice
Case2,Settle Dispute With Supplier,2011-01-10 12:10:56,2011-01-10 14:57:23,Settle Dispute With Supplier
Case2,Authorize Supplier's Invoice payment,2011-01-10 14:57:23,2011-01-10 14:57:23,Authorize Supplier's Invoice payment
Case2,Pay Invoice,2011-01-10 15:42:14,2011-01-10 15:53:08,Pay Invoice
Case2,End,2011-01-10 15:53:08,2011-01-10 15:53:08,End
Case3,Start,2011-01-05 17:42:51,2011-01-05 17:42:51,Start
Case3,Create Purchase Requisition,2011-01-05 17:42:51,2011-01-05 17:56:57,Create Purchase Requisition
Case3,Create Request for Quotation,2011-01-05 22:28:33,2011-01-05 22:40:47,Create Request for Quotation
Case3,Analyze Request for Quotation,2011-01-09 08:49:58,2011-01-09 09:17:24,Analyze Request for Quotation
Case3,Send Request for Quotation to Supplier,2011-01-09 16:59:06,2011-01-09 17:12:27,Send Request for Quotation to Supplier
Case3,Create Quotation comparison Map,2011-01-09 17:29:44,2011-01-10 02:31:09,Create Quotation comparison Map
Case3,Analyze Quotation Comparison Map,2011-01-10 09:39:53,2011-01-10 10:15:40,Analyze Quotation Comparison Map
Case3,Choose best option,2011-01-10 10:15:40,2011-01-10 10:15:40,Choose best option
Case3,Settle Conditions With Supplier,2011-01-10 21:16:20,2011-01-11 06:40:58,Settle Conditions With Supplier
Case3,Create Purchase Order,2011-01-11 19:04:56,2011-01-11 19:15:23,Create Purchase Order
Case3,Confirm Purchase Order,2011-01-13 19:28:19,2011-01-13 19:44:48,Confirm Purchase Order
Case3,Deliver Goods Services,2011-01-14 15:39:45,2011-01-15 07:44:17,Deliver Goods Services
Case3,Release Purchase Order,2011-01-15 15:49:31,2011-01-15 15:50:33,Release Purchase Order
Case3,Approve Purchase Order for payment,2011-01-16 02:59:20,2011-01-16 03:00:22,Approve Purchase Order for payment
Case3,Send Invoice,2011-01-18 04:46:01,2011-01-18 04:46:01,Send Invoice
Case3,Release Supplier's Invoice,2011-01-18 21:00:02,2011-01-18 21:04:26,Release Supplier's Invoice
Case3,Authorize Supplier's Invoice payment,2011-01-18 21:04:26,2011-01-18 21:04:26,Authorize Supplier's Invoice payment
Case3,Pay Invoice,2011-01-18 21:54:25,2011-01-18 22:07:31,Pay Invoice
Case3,End,2011-01-18 22:07:31,2011-01-18 22:07:31,End
Case4,Start,2011-01-05 18:50:11,2011-01-05 18:50:11,Start
Case4,Create Purchase Requisition,2011-01-05 18:50:11,2011-01-05 19:34:49,Create Purchase Requisition
Case4,Analyze Purchase Requisition,2011-01-06 15:08:57,2011-01-06 15:14:22,Analyze Purchase Requisition
Case4,Create Request for Quotation,2011-01-06 15:22:12,2011-01-06 15:23:43,Create Request for Quotation
Case4,Analyze Request for Quotation,2011-01-08 04:32:15,2011-01-08 04:46:23,Analyze Request for Quotation
Case4,Send Request for Quotation to Supplier,2011-01-08 11:05:37,2011-01-08 11:38:45,Send Request for Quotation to Supplier
Case4,Create Quotation comparison Map,2011-01-08 12:32:29,2011-01-08 15:26:57,Create Quotation comparison Map
Case4,Analyze Quotation Comparison Map,2011-01-08 23:09:16,2011-01-08 23:38:13,Analyze Quotation Comparison Map
Case4,Choose best option,2011-01-08 23:38:13,2011-01-08 23:38:13,Choose best option
Case4,Settle Conditions With Supplier,2011-01-09 14:41:06,2011-01-09 20:59:52,Settle Conditions With Supplier
Case4,Create Purchase Order,2011-01-10 05:56:56,2011-01-10 06:07:13,Create Purchase Order
Case4,Confirm Purchase Order,2011-01-11 01:14:37,2011-01-11 01:42:51,Confirm Purchase Order
Case4,Deliver Goods Services,2011-01-11 22:40:56,2011-01-13 09:13:09,Deliver Goods Services
Case4,Release Purchase Order,2011-01-13 17:24:16,2011-01-13 17:25:19,Release Purchase Order
Case4,Approve Purchase Order for payment,2011-01-14 10:15:59,2011-01-14 10:17:01,Approve Purchase Order for payment
Case4,Send Invoice,2011-01-20 13:05:45,2011-01-20 13:05:45,Send Invoice
Case4,Release Supplier's Invoice,2011-01-21 04:31:43,2011-01-21 04:37:17,Release Supplier's Invoice
Case4,Authorize Supplier's Invoice payment,2011-01-21 04:37:27,2011-01-21 04:37:27,Authorize Supplier's Invoice payment
Case4,Pay Invoice,2011-01-21 04:56:41,2011-01-21 05:06:51,Pay Invoice
Case4,End,2011-01-21 05:06:51,2011-01-21 05:06:51,End
Case5,Start,2011-01-05 19:26:44,2011-01-05 19:26:44,Start
Case5,Create Purchase Requisition,2011-01-05 19:26:44,2011-01-05 19:44:51,Create Purchase Requisition
Case5,Analyze Purchase Requisition,2011-01-07 13:51:49,2011-01-07 13:59:33,Analyze Purchase Requisition
Case5,End,2011-01-07 13:59:33,2011-01-07 13:59:33,End
Case6,Start,2011-01-05 20:52:31,2011-01-05 20:52:31,Start
Case6,Create Purchase Requisition,2011-01-05 20:52:31,2011-01-05 21:28:39,Create Purchase Requisition
Case6,Analyze Purchase Requisition,2011-01-06 23:02:07,2011-01-06 23:08:42,Analyze Purchase Requisition
Case6,Create Request for Quotation,2011-01-06 23:17:24,2011-01-06 23:19:52,Create Request for Quotation
Case6,Analyze Request for Quotation,2011-01-07 09:57:45,2011-01-07 10:12:52,Analyze Request for Quotation
Case6,Amend Request for Quotation,2011-01-07 11:29:15,2011-01-07 11:45:24,Amend Request for Quotation
Case6,Analyze Request for Quotation,2011-01-19 03:01:31,2011-01-19 03:32:28,Analyze Request for Quotation
Case6,Send Request for Quotation to Supplier,2011-01-19 20:19:52,2011-01-19 20:41:00,Send Request for Quotation to Supplier
Case6,Create Quotation comparison Map,2011-01-20 07:18:45,2011-01-20 11:17:55,Create Quotation comparison Map
Case6,Analyze Quotation Comparison Map,2011-01-20 18:29:01,2011-01-20 18:48:38,Analyze Quotation Comparison Map
Case6,Choose best option,2011-01-20 18:48:38,2011-01-20 18:48:38,Choose best option
Case6,Settle Conditions With Supplier,2011-01-20 23:33:57,2011-01-21 05:25:59,Settle Conditions With Supplier
Case6,Create Purchase Order,2011-01-22 09:00:49,2011-01-22 09:09:13,Create Purchase Order
Case6,Confirm Purchase Order,2011-01-22 14:12:42,2011-01-22 14:20:48,Confirm Purchase Order
Case6,Deliver Goods Services,2011-01-22 23:35:12,2011-01-23 08:32:05,Deliver Goods Services
Case6,Release Purchase Order,2011-01-23 16:43:59,2011-01-23 16:45:03,Release Purchase Order
Case6,Approve Purchase Order for payment,2011-01-24 04:01:16,2011-01-24 04:02:17,Approve Purchase Order for payment
Case6,Send Invoice,2011-01-25 19:24:24,2011-01-25 19:24:24,Send Invoice
Case6,Release Supplier's Invoice,2011-01-26 09:42:55,2011-01-26 09:47:52,Release Supplier's Invoice
Case6,Authorize Supplier's Invoice payment,2011-01-26 09:47:52,2011-01-26 09:47:52,Authorize Supplier's Invoice payment
Case6,Pay Invoice,2011-01-26 09:55:09,2011-01-26 10:10:17,Pay Invoice
Case6,End,2011-01-26 10:10:17,2011-01-26 10:10:17,End
Case7,Start,2011-01-05 22:16:52,2011-01-05 22:16:52,Start
Case7,Create Purchase Requisition,2011-01-05 22:16:52,2011-01-05 23:07:17,Create Purchase Requisition
Case7,Analyze Purchase Requisition,2011-01-06 16:59:21,2011-01-06 17:04:29,Analyze Purchase Requisition
Case7,Create Request for Quotation,2011-01-06 17:10:05,2011-01-06 17:14:58,Create Request for Quotation
Case7,Analyze Request for Quotation,2011-01-06 22:19:49,2011-01-06 22:48:52,Analyze Request for Quotation
Case7,Amend Request for Quotation,2011-01-06 23:49:31,2011-01-07 00:00:27,Amend Request for Quotation
Case7,Analyze Request for Quotation,2011-01-09 23:50:11,2011-01-10 00:07:43,Analyze Request for Quotation
Case7,Send Request for Quotation to Supplier,2011-01-10 17:50:01,2011-01-10 18:20:38,Send Request for Quotation to Supplier
Case7,Create Quotation comparison Map,2011-01-10 21:46:05,2011-01-11 02:29:58,Create Quotation comparison Map
Case7,Analyze Quotation Comparison Map,2011-01-11 10:42:05,2011-01-11 11:07:08,Analyze Quotation Comparison Map
Case7,Choose best option,2011-01-11 11:07:08,2011-01-11 11:07:08,Choose best option
Case7,Settle Conditions With Supplier,2011-01-11 13:52:20,2011-01-11 22:03:50,Settle Conditions With Supplier
Case7,Create Purchase Order,2011-01-12 23:07:47,2011-01-12 23:13:02,Create Purchase Order
Case7,Confirm Purchase Order,2011-01-13 17:22:53,2011-01-13 17:34:32,Confirm Purchase Order
Case7,Deliver Goods Services,2011-01-18 02:40:52,2011-01-19 08:43:01,Deliver Goods Services
Case7,Release Purchase Order,2011-01-19 16:35:59,2011-01-19 16:37:06,Release Purchase Order
Case7,Approve Purchase Order for payment,2011-01-20 02:58:12,2011-01-20 02:59:18,Approve Purchase Order for payment
Case7,Send Invoice,2011-01-22 09:03:38,2011-01-22 09:03:38,Send Invoice
Case7,Release Supplier's Invoice,2011-01-22 20:20:10,2011-01-22 20:25:17,Release Supplier's Invoice
Case7,Authorize Supplier's Invoice payment,2011-01-23 07:08:08,2011-01-23 07:08:08,Authorize Supplier's Invoice payment
Case7,Pay Invoice,2011-01-23 07:51:45,2011-01-23 07:59:52,Pay Invoice
Case7,End,2011-01-23 07:59:52,2011-01-23 07:59:52,End
Case8,Start,2011-01-05 23:02:09,2011-01-05 23:02:09,Start
Case8,Create Purchase Requisition,2011-01-05 23:02:09,2011-01-05 23:36:51,Create Purchase Requisition
Case8,Analyze Purchase Requisition,2011-01-06 21:12:47,2011-01-06 21:20:00,Analyze Purchase Requisition
Case8,Create Request for Quotation,2011-01-06 21:28:27,2011-01-06 21:30:28,Create Request for Quotation
Case8,Analyze Request for Quotation,2011-01-07 23:47:55,2011-01-08 00:08:55,Analyze Request for Quotation
Case8,Send Request for Quotation to Supplier,2011-01-09 00:01:22,2011-01-09 00:21:25,Send Request for Quotation to Supplier
Case8,Create Quotation comparison Map,2011-01-09 01:22:49,2011-01-09 04:54:23,Create Quotation comparison Map
Case8,Analyze Quotation Comparison Map,2011-01-09 12:13:19,2011-01-09 12:52:21,Analyze Quotation Comparison Map
Case8,Choose best option,2011-01-09 12:52:21,2011-01-09 12:52:21,Choose best option
Case8,Settle Conditions With Supplier,2011-01-11 15:43:28,2011-01-11 23:07:52,Settle Conditions With Supplier
Case8,Create Purchase Order,2011-01-13 13:25:07,2011-01-13 13:39:58,Create Purchase Order
Case8,Confirm Purchase Order,2011-01-14 11:24:57,2011-01-14 11:48:53,Confirm Purchase Order
Case8,Deliver Goods Services,2011-01-17 19:06:42,2011-01-19 03:56:58,Deliver Goods Services
Case8,Release Purchase Order,2011-01-19 12:00:39,2011-01-19 12:01:44,Release Purchase Order
Case8,Approve Purchase Order for payment,2011-01-19 22:22:15,2011-01-19 22:23:18,Approve Purchase Order for payment
Case8,Send Invoice,2011-01-21 21:30:42,2011-01-21 21:30:42,Send Invoice
Case8,Release Supplier's Invoice,2011-01-22 13:55:24,2011-01-22 14:02:58,Release Supplier's Invoice
Case8,Authorize Supplier's Invoice payment,2011-01-22 14:02:58,2011-01-22 14:02:58,Authorize Supplier's Invoice payment
Case8,Pay Invoice,2011-01-22 14:27:12,2011-01-22 14:33:54,Pay Invoice
Case8,End,2011-01-22 14:33:54,2011-01-22 14:33:54,End
Case9,Start,2011-01-06 00:52:20,2011-01-06 00:52:20,Start
Case9,Create Purchase Requisition,2011-01-06 00:52:20,2011-01-06 01:37:20,Create Purchase Requisition
Case9,Analyze Purchase Requisition,2011-01-06 15:29:38,2011-01-06 15:35:02,Analyze Purchase Requisition
Case9,End,2011-01-06 15:35:02,2011-01-06 15:35:02,End
Case10,Start,2011-01-06 02:01:47,2011-01-06 02:01:47,Start
Case10,Create Purchase Requisition,2011-01-06 02:01:47,2011-01-06 02:48:52,Create Purchase Requisition
Case10,Analyze Purchase Requisition,2011-01-06 20:40:25,2011-01-06 20:49:04,Analyze Purchase Requisition
Case10,Create Request for Quotation,2011-01-06 20:54:42,2011-01-06 20:58:31,Create Request for Quotation
Case10,Analyze Request for Quotation,2011-01-07 02:53:35,2011-01-07 03:18:18,Analyze Request for Quotation
Case10,End,2011-01-07 03:18:18,2011-01-07 03:18:18,End
Case11,Start,2011-01-06 04:53:27,2011-01-06 04:53:27,Start
Case11,Create Purchase Requisition,2011-01-06 04:53:27,2011-01-06 05:02:56,Create Purchase Requisition
Case11,Create Request for Quotation,2011-01-06 05:08:56,2011-01-06 05:11:31,Create Request for Quotation
Case11,Analyze Request for Quotation,2011-01-06 07:18:18,2011-01-06 07:45:18,Analyze Request for Quotation
Case11,Send Request for Quotation to Supplier,2011-01-07 23:17:07,2011-01-07 23:54:54,Send Request for Quotation to Supplier
Case11,Create Quotation comparison Map,2011-01-08 05:44:46,2011-01-08 08:20:13,Create Quotation comparison Map
Case11,Analyze Quotation Comparison Map,2011-01-08 16:02:04,2011-01-08 16:31:56,Analyze Quotation Comparison Map
Case11,Choose best option,2011-01-08 16:31:56,2011-01-08 16:31:56,Choose best option
Case11,Settle Conditions With Supplier,2011-01-09 06:19:29,2011-01-09 15:41:40,Settle Conditions With Supplier
Case11,Create Purchase Order,2011-01-09 16:53:43,2011-01-09 17:06:15,Create Purchase Order
Case11,Confirm Purchase Order,2011-01-13 23:29:42,2011-01-13 23:51:41,Confirm Purchase Order
Case11,Deliver Goods Services,2011-01-17 13:30:36,2011-01-18 02:46:51,Deliver Goods Services
Case11,Release Purchase Order,2011-01-18 11:17:45,2011-01-18 11:18:44,Release Purchase Order
Case11,Approve Purchase Order for payment,2011-01-18 23:58:05,2011-01-18 23:59:06,Approve Purchase Order for payment
Case11,Send Invoice,2011-01-23 07:01:05,2011-01-23 07:01:05,Send Invoice
Case11,Release Supplier's Invoice,2011-01-23 23:29:25,2011-01-23 23:35:12,Release Supplier's Invoice
Case11,Settle Dispute With Supplier,2011-01-24 00:22:58,2011-01-24 04:25:45,Settle Dispute With Supplier
Case11,Authorize Supplier's Invoice payment,2011-01-24 04:27:04,2011-01-24 04:27:04,Authorize Supplier's Invoice payment
Case11,Pay Invoice,2011-01-24 05:05:13,2011-01-24 05:18:36,Pay Invoice
Case11,End,2011-01-24 05:18:36,2011-01-24 05:18:36,End
Case12,Start,2011-01-06 05:25:08,2011-01-06 05:25:08,Start
Case12,Create Purchase Requisition,2011-01-06 05:25:08,2011-01-06 06:05:20,Create Purchase Requisition
Case12,Create Request for Quotation,2011-01-06 13:40:47,2011-01-06 13:56:30,Create Request for Quotation
Case12,Analyze Request for Quotation,2011-01-11 16:50:40,2011-01-11 17:27:15,Analyze Request for Quotation
Case12,Amend Request for Quotation,2011-01-11 18:30:02,2011-01-11 18:42:21,Amend Request for Quotation
Case12,Analyze Request for Quotation,2011-01-14 04:52:22,2011-01-14 05:13:53,Analyze Request for Quotation
Case12,Send Request for Quotation to Supplier,2011-01-14 15:56:15,2011-01-14 16:37:49,Send Request for Quotation to Supplier
Case12,Create Quotation comparison Map,2011-01-14 17:53:11,2011-01-14 20:24:11,Create Quotation comparison Map
Case12,Analyze Quotation Comparison Map,2011-01-15 03:55:17,2011-01-15 04:15:50,Analyze Quotation Comparison Map
Case12,Choose best option,2011-01-15 04:15:50,2011-01-15 04:15:50,Choose best option
Case12,Settle Conditions With Supplier,2011-01-15 10:45:50,2011-01-15 17:31:17,Settle Conditions With Supplier
Case12,Create Purchase Order,2011-01-16 06:51:12,2011-01-16 06:59:05,Create Purchase Order
Case12,Confirm Purchase Order,2011-01-17 06:34:11,2011-01-17 06:57:36,Confirm Purchase Order
Case12,Deliver Goods Services,2011-01-17 23:52:36,2011-01-19 15:01:17,Deliver Goods Services
Case12,Release Purchase Order,2011-01-19 23:26:46,2011-01-19 23:27:50,Release Purchase Order
Case12,Approve Purchase Order for payment,2011-01-20 09:00:30,2011-01-20 09:01:17,Approve Purchase Order for payment
Case12,Send Invoice,2011-01-21 04:50:31,2011-01-21 04:50:31,Send Invoice
Case12,Release Supplier's Invoice,2011-01-21 23:35:45,2011-01-21 23:42:32,Release Supplier's Invoice
Case12,Settle Dispute With Supplier,2011-01-23 02:26:35,2011-01-23 07:14:57,Settle Dispute With Supplier
