caseid,task,start_timestamp,end_timestamp,resource
Case1,Start,2011-01-01 02:28:58,2011-01-01 02:28:58,Start
Case1,Create Purchase Requisition,2011-01-01 02:28:58,2011-01-01 03:24:49,Create Purchase Requisition
Case1,Create Request for Quotation,2011-01-01 03:31:02,2011-01-01 03:33:39,Create Request for Quotation
Case1,Analyze Request for Quotation,2011-01-05 02:16:29,2011-01-05 02:41:02,Analyze Request for Quotation
Case1,Send Request for Quotation to Supplier,2011-01-05 14:15:10,2011-01-05 14:50:39,Send Request for Quotation to Supplier
Case1,Create Quotation comparison Map,2011-01-08 12:09:36,2011-01-08 14:20:07,Create Quotation comparison Map
Case1,Analyze Quotation Comparison Map,2011-01-08 21:41:59,2011-01-08 22:14:57,Analyze Quotation Comparison Map
Case1,Choose best option,2011-01-08 22:14:57,2011-01-08 22:14:57,Choose best option
Case1,Settle Conditions With Supplier,2011-01-10 04:58:28,2011-01-10 10:44:55,Settle Conditions With Supplier
Case1,Create Purchase Order,2011-01-10 20:03:59,2011-01-10 20:11:29,Create Purchase Order
Case1,Confirm Purchase Order,2011-01-12 11:01:05,2011-01-12 11:20:41,Confirm Purchase Order
Case1,Deliver Goods Services,2011-01-13 16:33:35,2011-01-15 05:48:46,Deliver Goods Services
Case1,Release Purchase Order,2011-01-15 14:32:26,2011-01-15 14:33:31,Release Purchase Order
Case1,Approve Purchase Order for payment,2011-01-16 03:03:03,2011-01-16 03:04:04,Approve Purchase Order for payment
Case1,Send Invoice,2011-01-22 23:12:58,2011-01-22 23:12:58,Send Invoice
Case1,Release Supplier's Invoice,2011-01-23 17:38:54,2011-01-23 17:46:12,Release Supplier's Invoice
Case1,Authorize Supplier's Invoice payment,2011-01-23 19:19:16,2011-01-23 19:19:16,Authorize Supplier's Invoice payment
Case1,Pay Invoice,2011-01-23 19:37:59,2011-01-23 19:49:14,Pay Invoice
Case1,End,2011-01-23 19:49:14,2011-01-23 19:49:14,End
Case2,Start,2011-01-01 14:27:04,2011-01-01 14:27:04,Start
Case2,Create Purchase Requisition,2011-01-01 14:27:04,2011-01-01 15:25:00,Create Purchase Requisition
Case2,Analyze Purchase Requisition,2011-01-02 07:18:06,2011-01-02 07:23:22,Analyze Purchase Requisition
Case2,Create Request for Quotation,2011-01-02 07:33:54,2011-01-02 07:38:43,Create Request for Quotation
Case2,Analyze Request for Quotation,2011-01-02 08:44:56,2011-01-02 09:26:30,Analyze Request for Quotation
Case2,Send Request for Quotation to Supplier,2011-01-03 08:03:09,2011-01-03 08:19:46,Send Request for Quotation to Supplier
Case2,Create Quotation comparison Map,2011-01-03 12:34:49,2011-01-03 17:06:24,Create Quotation comparison Map
Case2,Analyze Quotation Comparison Map,2011-01-03 20:23:32,2011-01-03 20:54:47,Analyze Quotation Comparison Map
